"コンテンツID※空欄で構いません。特定の値を設定したい場合に入力してください。",title,description,content,category,thumbnail
,新メニュー「パラボラムスペシャルカクテル」の登場,新たなスペシャルカクテルをメニューに追加しました。特別な夜を演出する一杯をお楽しみください。,独自のレシピで作られた「パラボラムスペシャルカクテル」を提供開始しました。このカクテルは、フルーティーな香りとスパイシーな後味が特徴で、訪れるお客様に新しい味覚体験を提供します。ぜひお試しください。,menu-update,
,DJイベント「ナイトビート」の開催決定,今月末にDJイベント「ナイトビート」を開催します。音楽と共に特別な夜をお楽しみください。,DJイベント「ナイトビート」は、地元の人気DJを招き、最新のトラックとクラシックなビートをミックスしてお届けします。音楽に合わせた特別なドリンクメニューもご用意しておりますので、ぜひお越しください。,event,
,お笑いライブ「笑いの夜」の開催,今週末、BAR PARABOLAMでお笑いライブ「笑いの夜」を開催します。笑いと共に楽しいひとときをお過ごしください。,「笑いの夜」では、地元の人気コメディアンが登場し、ユーモア溢れるパフォーマンスを披露します。笑い声が絶えない夜をお楽しみいただけること間違いなしです。お席に限りがありますので、お早めにご予約ください。,event,
,新しい営業時間のお知らせ,より多くのお客様に楽しんでいただけるよう、営業時間を拡大しました。,新しい営業時間は、平日午後5時から午前2時、週末は午後3時から午前3時までとなります。これにより、仕事帰りや週末のリラックスタイムに、より多くの方にご利用いただけるようになりました。皆様のご来店を心よりお待ちしております。,notice,
,季節限定メニューのご紹介,季節の変わり目に合わせて、BAR PARABOLAMでは限定メニューを提供します。旬の素材を使った特別な一品をお楽しみください。,この季節限定メニューでは、地元の新鮮な食材を使用した料理と、季節にぴったりのカクテルをお楽しみいただけます。特に、秋の味覚をふんだんに取り入れた「秋のハーベストプレート」はおすすめです。,menu-update,
,周年記念パーティーのご案内,開店周年を記念して特別なパーティーを開催します。皆様のご参加をお待ちしております。,周年記念パーティーでは、特別ゲストによるライブパフォーマンスや、限定ドリンクの提供を予定しています。日頃のご愛顧に感謝を込めて、楽しいひとときをお届けします。ぜひお越しください。,event,
,新スタッフの紹介,BAR PARABOLAMに新しいスタッフが加わりました。彼らの情熱と笑顔で、皆様をお迎えします。,新スタッフは、バーテンダーとしての豊富な経験を持ち、独自のカクテルを提供することに情熱を注いでいます。彼らの創造性とサービス精神で、BAR PARABOLAMでの時間をより特別なものにします。,notice,
,新しいデザートメニューの追加,新しいデザートメニューを追加しました。甘いひとときをお楽しみください。,新デザートメニューには、シェフ特製の「チョコレートラバーズケーキ」や「フルーツパフェ」が登場。どちらも、食後のひとときを彩る一品です。ぜひお試しください。,menu-update,
,ライブミュージックナイトの開催,今月の特別イベントとして、BAR PARABOLAMでライブミュージックナイトを開催します。音楽と共に素敵な夜をお過ごしください。,ライブミュージックナイトでは、地元のアーティストが生演奏を披露し、店内を音楽で満たします。特別なドリンクメニューもご用意しておりますので、ぜひお越しください。,event,
,新しいワインリストの発表,新しいワインリストを発表しました。世界各国の厳選されたワインをお楽しみください。,新しいワインリストには、フランスやイタリアをはじめとする世界各国のワインが揃っています。特に、ソムリエが選んだおすすめの一本をぜひお試しください。,menu-update,
,カクテルワークショップの開催決定,カクテルワークショップを開催します。自分だけのオリジナルカクテルを作る楽しさを体験してください。,このワークショップでは、プロのバーテンダーがカクテルの基本から応用までを教えます。自分だけのオリジナルカクテルを作るチャンスです。ぜひご参加ください。,event,
,新しい安全対策のご案内,お客様の安全を第一に考え、新しい安全対策を導入しました。,新しい安全対策には、店内の定期的な消毒や、スタッフの健康チェックが含まれます。安心してご来店いただける環境を整えております。,notice,
,新メニュー「パラボラムスペシャルカクテル」の再登場,再び新たなスペシャルカクテルをメニューに追加しました。特別な夜を演出する一杯をお楽しみください。,独自のレシピで作られた「パラボラムスペシャルカクテル」を再度提供開始しました。このカクテルは、フルーティーな香りとスパイシーな後味が特徴で、訪れるお客様に新しい味覚体験を提供します。ぜひお試しください。,menu-update,
,新しいDJイベント「ナイトビート」の開催,来月に新しいDJイベント「ナイトビート」を開催します。音楽と共に特別な夜をお楽しみください。,新しいDJイベント「ナイトビート」は、地元の人気DJを招き、最新のトラックとクラシックなビートをミックスしてお届けします。音楽に合わせた特別なドリンクメニューもご用意しておりますので、ぜひお越しください。,event,
,お笑いライブ「笑いの夜」の再開催,来週末、BAR PARABOLAMでお笑いライブ「笑いの夜」を再び開催します。笑いと共に楽しいひとときをお過ごしください。,「笑いの夜」では、地元の人気コメディアンが再び登場し、ユーモア溢れるパフォーマンスを披露します。笑い声が絶えない夜をお楽しみいただけること間違いなしです。お席に限りがありますので、お早めにご予約ください。,event,
,新しい営業時間の再お知らせ,より多くのお客様に楽しんでいただけるよう、営業時間を再度拡大しました。,新しい営業時間は、平日午後5時から午前2時、週末は午後3時から午前3時までとなります。これにより、仕事帰りや週末のリラックスタイムに、より多くの方にご利用いただけるようになりました。皆様のご来店を心よりお待ちしております。,notice,
,季節限定メニューの再紹介,季節の変わり目に合わせて、BAR PARABOLAMでは再び限定メニューを提供します。旬の素材を使った特別な一品をお楽しみください。,この季節限定メニューでは、地元の新鮮な食材を使用した料理と、季節にぴったりのカクテルをお楽しみいただけます。特に、秋の味覚をふんだんに取り入れた「秋のハーベストプレート」はおすすめです。,menu-update,
,周年記念パーティーの再案内,開店周年を記念して再び特別なパーティーを開催します。皆様のご参加をお待ちしております。,周年記念パーティーでは、特別ゲストによるライブパフォーマンスや、限定ドリンクの提供を予定しています。日頃のご愛顧に感謝を込めて、楽しいひとときをお届けします。ぜひお越しください。,event,
,新スタッフの再紹介,BAR PARABOLAMに新しいスタッフが再び加わりました。彼らの情熱と笑顔で、皆様をお迎えします。,新スタッフは、バーテンダーとしての豊富な経験を持ち、独自のカクテルを提供することに情熱を注いでいます。彼らの創造性とサービス精神で、BAR PARABOLAMでの時間をより特別なものにします。,notice,
,新しいデザートメニューの再追加,新しいデザートメニューを再度追加しました。甘いひとときをお楽しみください。,新デザートメニューには、シェフ特製の「チョコレートラバーズケーキ」や「フルーツパフェ」が再登場。どちらも、食後のひとときを彩る一品です。ぜひお試しください。,menu-update,
,ライブミュージックナイトの再開催,来月の特別イベントとして、BAR PARABOLAMでライブミュージックナイトを再び開催します。音楽と共に素敵な夜をお過ごしください。,ライブミュージックナイトでは、地元のアーティストが再び生演奏を披露し、店内を音楽で満たします。特別なドリンクメニューもご用意しておりますので、ぜひお越しください。,event,
,新しいワインリストの再発表,新しいワインリストを再度発表しました。世界各国の厳選されたワインをお楽しみください。,新しいワインリストには、フランスやイタリアをはじめとする世界各国のワインが揃っています。特に、ソムリエが選んだおすすめの一本をぜひお試しください。,menu-update,
,カクテルワークショップの再開催決定,カクテルワークショップを再び開催します。自分だけのオリジナルカクテルを作る楽しさを体験してください。,このワークショップでは、プロのバーテンダーがカクテルの基本から応用までを教えます。自分だけのオリジナルカクテルを作るチャンスです。ぜひご参加ください。,event,
,新しい安全対策の再案内,お客様の安全を第一に考え、新しい安全対策を再度導入しました。,新しい安全対策には、店内の定期的な消毒や、スタッフの健康チェックが含まれます。安心してご来店いただける環境を整えております。,notice,